0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.6370391846
1,-0.58998525,-0.39803982,-0.35311157,0.090932846,-0.6150424,-0.933954,-0.24652523,0.3422619,-0.09360397,0.95751226,0.4933852,-0.955121,0.79951143,0.38970935,0.026106596,-0.46847427,-0.439274,-208.8082580566
2,-0.8194281,0.47962165,0.6120986,-0.19528817,-0.77911514,-0.39022988,0.41319466,0.29778028,0.028866129,0.8579668,-0.5195076,-0.015507758,-0.5366968,0.32142854,0.7486938,-0.36554396,-0.3588264,-296.9790039063
3,0.022274256,-0.12164992,-0.38771176,-0.8797425,0.31409693,0.30474246,-0.5464349,0.7234651,0.6047796,0.15558922,0.015241146,-0.48839355,0.16839933,-0.572738,0.3537662,0.19091535,-0.57791656,-411.2268676758
4,0.0002218445,0.0002025201,-0.0002874018,0.0003192562,1.5582107E-05,5.0268914E-05,-0.0001125448,1.5380423E-05,-3.0428513E-05,-3.289129E-05,-0.000034664,6.231486E-05,2.5276311E-05,-1.8595462E-06,7.31164E-05,1.4954376E-05,0.0001767344,-216.0169830322
5,-5.8406868E-06,-0.0005485907,4.3525565E-06,0.0001191978,5.6121087E-07,0.000037707,-0.0005514465,-5.7561294E-05,-0.0001705634,-2.0240135E-05,7.238521E-05,-0.0011925452,-4.2095253E-05,1.7162358E-05,3.6056295E-05,-0.000084898,0.0001420415,-149.6583404541
6,0.52646995,0.13741842,-0.4959601,0.7040978,0.11389123,-0.68723917,0.2760229,-0.19779506,0.48703817,0.36029285,-0.20239791,0.3104865,-0.5482804,0.46373332,-0.18069798,-0.8191637,-0.40811536,-357.0433959961
7,0.3751452,0.18302548,-0.43493783,0.27486265,0.013073206,-0.95081365,-0.26356506,-0.49504638,-0.776468,0.23338819,-0.06207925,0.6133702,-0.9973389,0.19716883,-0.14224541,-0.95513177,0.99590063,-73.5123062134
8,0.09597349,0.25874138,-0.08236432,-0.12009615,-0.309637,0.72381794,-0.25462627,-0.77028674,-0.99631387,-0.2661364,0.23325276,0.22920096,-0.15811604,-0.52704084,-0.4128977,0.23240757,0.79854393,-52.7327880859
9,0.8964926,-0.17675829,-0.71897423,0.3430109,-0.8134058,0.77602005,0.3860972,-0.95203793,-0.80489963,-0.033509076,0.35460997,0.1677041,-0.7008628,-0.7869911,-0.38412315,-0.5299715,-0.15876228,-228.2689056396
